+=====================+=====================+=================================================================================================================================================================================================================================================================================================================================================================+
| Launch Setup Clock  | Launch Hold Clock   | Pin                                                                                                                                                                                                                                                                                                                                                             |
+=====================+=====================+=================================================================================================================================================================================================================================================================================================================================================================+
| clk_out1_clk_wiz_1  | clk_out1_clk_wiz_1  | u_lcd_top/u_lcd_core/rand_num_reg/D                                                                                                                                                                                                                                                                                                                             |
| clk_out1_clk_wiz_1  | clk_out1_clk_wiz_1  | u_lcd_top/u_lcd_core/FSM_sequential_core_state_reg[1]/D                                                                                                                                                                                                                                                                                                         |
| clk_out1_clk_wiz_1  | clk_out1_clk_wiz_1  | u_lcd_top/u_lcd_core/FSM_sequential_core_state_reg[2]/D                                                                                                                                                                                                                                                                                                         |
| clk_out1_clk_wiz_1  | clk_out1_clk_wiz_1  | u_lcd_top/u_lcd_core/FSM_sequential_core_state_reg[0]/D                                                                                                                                                                                                                                                                                                         |
| clk_out1_clk_wiz_1  | clk_out1_clk_wiz_1  | u_lcd_top/u_lcd_core/cpu_draw_reg/D                                                                                                                                                                                                                                                                                                                             |
| clk_out1_clk_wiz_1  | clk_out1_clk_wiz_1  | u_lcd_top/u_lcd_core/cpu_work_reg/D                                                                                                                                                                                                                                                                                                                             |
| clk_out1_clk_wiz_1  | clk_out1_clk_wiz_1  | u_lcd_top/u_lcd_core/game_reg[0]/D                                                                                                                                                                                                                                                                                                                              |
| clk_out1_clk_wiz_1  | clk_out1_clk_wiz_1  | u_lcd_top/u_lcd_core/new_color_reg[15]/D                                                                                                                                                                                                                                                                                                                        |
| clk_out1_clk_wiz_1  | clk_out1_clk_wiz_1  | u_lcd_top/u_lcd_core/new_color_reg[6]/D                                                                                                                                                                                                                                                                                                                         |
| clk_out1_clk_wiz_1  | clk_out1_clk_wiz_1  | u_lcd_top/u_lcd_core/new_color_reg[14]/D                                                                                                                                                                                                                                                                                                                        |
| clk_out1_clk_wiz_1  | clk_out1_clk_wiz_1  | u_lcd_top/u_lcd_core/change_color_reg/D                                                                                                                                                                                                                                                                                                                         |
| clk_out1_clk_wiz_1  | clk_out1_clk_wiz_1  | u_lcd_top/u_lcd_core/new_color_reg[13]/D                                                                                                                                                                                                                                                                                                                        |
| clk_out1_clk_wiz_1  | clk_out1_clk_wiz_1  | u_lcd_top/u_lcd_core/new_color_reg[11]/D                                                                                                                                                                                                                                                                                                                        |
| clk_out1_clk_wiz_1  | clk_out1_clk_wiz_1  | u_lcd_top/u_lcd_core/new_color_reg[1]/D                                                                                                                                                                                                                                                                                                                         |
| clk_out1_clk_wiz_1  | clk_out1_clk_wiz_1  | u_lcd_top/u_lcd_core/new_color_reg[0]/D                                                                                                                                                                                                                                                                                                                         |
| clk_out1_clk_wiz_1  | clk_out1_clk_wiz_1  | u_lcd_top/u_lcd_core/new_color_reg[5]/D                                                                                                                                                                                                                                                                                                                         |
| clk_out1_clk_wiz_1  | clk_out1_clk_wiz_1  | u_lcd_top/u_lcd_core/new_color_reg[12]/D                                                                                                                                                                                                                                                                                                                        |
| clk_out1_clk_wiz_1  | clk_out1_clk_wiz_1  | u_lcd_top/u_lcd_core/new_color_reg[7]/D                                                                                                                                                                                                                                                                                                                         |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_write/inst/grp_FrmbufWrHlsDataFlow_fu_160/bytePlanes_U/U_v_frmbuf_wr_0_fifo_w64_d256_B_ram/mem_reg/RSTRAMARSTRAM                                                                                                                                                                                                                                             |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_write/inst/mm_video_m_axi_U/store_unit/buff_wdata/U_fifo_mem/mem_reg/RSTRAMARSTRAM                                                                                                                                                                                                                                                                           |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/mm_video_m_axi_U/load_unit/buff_rdata/U_fifo_mem/mem_reg/RSTRAMARSTRAM                                                                                                                                                                                                                                                                             |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | ps2/inst/Incoming_Data_FIFO/U0/inst_fifo_gen/gconvfifo.rf/grf.rf/gntv_or_sync_fifo.mem/gbm.gbmg.gbmga.ngecc.bmg/inst_blk_mem_gen/gnbram.gnativebmg.native_blk_mem_gen/valid.cstr/ramloop[0].ram.r/prim_noinit.ram/DEVICE_7SERIES.NO_BMM_INFO.SDP.WIDE_PRIM18.ram/RSTRAMARSTRAM                                                                                  |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/bytePlanes_U/U_v_frmbuf_rd_0_fifo_w64_d256_B_ram/mem_reg/RSTRAMARSTRAM                                                                                                                                                                                                                                              |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/Bytes2MultiPixStream_U0/grp_Bytes2MultiPixStream_Pipeline_VITIS_LOOP_1365_1_fu_150/ap_enable_reg_pp0_iter0_reg_reg/D                                                                                                                                                                                                |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_write/inst/mm_video_m_axi_U/store_unit/buff_wdata/U_fifo_mem/mem_reg/ENARDEN                                                                                                                                                                                                                                                                                 |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_write/inst/grp_FrmbufWrHlsDataFlow_fu_160/bytePlanes_U/U_v_frmbuf_wr_0_fifo_w64_d256_B_ram/mem_reg/ENARDEN                                                                                                                                                                                                                                                   |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/bytePlanes_U/U_v_frmbuf_rd_0_fifo_w64_d256_B_ram/mem_reg/ENARDEN                                                                                                                                                                                                                                                    |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/mm_video_m_axi_U/load_unit/buff_rdata/U_fifo_mem/mem_reg/ENARDEN                                                                                                                                                                                                                                                                                   |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | ps2/inst/Incoming_Data_FIFO/U0/inst_fifo_gen/gconvfifo.rf/grf.rf/gntv_or_sync_fifo.mem/gbm.gbmg.gbmga.ngecc.bmg/inst_blk_mem_gen/gnbram.gnativebmg.native_blk_mem_gen/valid.cstr/ramloop[0].ram.r/prim_noinit.ram/DEVICE_7SERIES.NO_BMM_INFO.SDP.WIDE_PRIM18.ram/ENARDEN                                                                                        |
